Tên trường,Tổng điểm,Loại trường,Vị trí địa lý,Thành phố
Học viện Báo chí và Tuyên truyền,52.83,Công lập,Đồng bằng sông Hồng,Hà Nội
Học viện Chính sách và Phát triển,46.81,Công lập,Đồng bằng sông Hồng,Hà Nội
Học viện Hàng không Việt Nam,49.48,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Học viện Ngoại giao,51.15,Công lập,Đồng bằng sông Hồng,Hà Nội
Học viện Ngân hàng,55.38,Công lập,Đồng bằng sông Hồng,Hà Nội
Học viện Nông nghiệp Việt Nam,58.95,Công lập,Đồng bằng sông Hồng,Hà Nội
Học viện Phụ nữ Việt Nam,47.8,Công lập,Đồng bằng sông Hồng,Hà Nội
Học viện Quản lý Giáo dục,49.03,Công lập,Đồng bằng sông Hồng,Hà Nội
Học viện Tài chính,54.63,Công lập,Đồng bằng sông Hồng,Hà Nội
Học viện Y Dược học cổ truyền Việt Nam,47.88,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học CMC,43.73,Tư thục,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Công nghiệp TP. Hồ Chí Minh,63.27,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Công nghiệp Việt - Hung,42.08,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Công nghệ TP. Hồ Chí Minh,54.62,Tư thục,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Công nghệ Đồng Nai,43.04,Tư thục,Đông Nam Bộ,Đồng Nai
Trường Đại học Công thương TP. Hồ Chí Minh,45.4,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Công đoàn,51.06,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Dược Hà Nội,54.79,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học FPT,44.86,Tư thục,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Giao thông Vận tải,55.88,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Hoa Sen,43.97,Tư thục,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Hàng hải Việt Nam,51.5,Công lập,Đồng bằng sông Hồng,Hải Phòng
Trường Đại học Hùng Vương,43.55,Công lập,Trung du và miền núi phía Bắc,Phú Thọ
Trường Đại học Hải Phòng,50.53,Công lập,Đồng bằng sông Hồng,Hải Phòng
Trường Đại học Hồng Đức,53.83,Công lập,Bắc Trung Bộ,Thanh Hóa
Trường Đại học Khoa học và Công nghệ Hà Nội,69.21,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Kinh tế - Kỹ thuật Bình Dương,42.51,Tư thục,Đông Nam Bộ,Bình Dương
Trường Đại học Kinh tế Kỹ thuật công nghiệp,50.56,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Kiên Giang,42.85,Công lập,Đồng bằng sông Cửu Long,Kiên Giang
Trường Đại học Kiến trúc Hà Nội,50.17,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Kiến trúc TP. Hồ Chí Minh,42.98,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Kiểm sát Hà Nội,48.11,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Kỹ thuật - Công nghệ Cần Thơ,46.43,Công lập,Đồng bằng sông Cửu Long,Cần Thơ
Trường Đại học Kỹ thuật Y - Dược Đà Nẵng,44.14,Công lập,Duyên hải Nam Trung Bộ và Tây Nguyên,Đà Nẵng
Trường Đại học Kỹ thuật y tế Hải Dương,47.49,Công lập,Đồng bằng sông Hồng,Hải Dương
Trường Đại học Lao động - Xã hội,47.84,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Luật Hà Nội,53.32,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Luật TP. Hồ Chí Minh,52.15,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Lâm nghiệp,43.08,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Lạc Hồng,50.37,Tư thục,Đông Nam Bộ,Đồng Nai
Trường Đại học Mỏ - Địa chất,55.29,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Mở Hà Nội,45.89,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Mở TP. Hồ Chí Minh,54.66,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Mỹ thuật TP. Hồ Chí Minh,42.33,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Nam Cần Thơ,53.06,Tư thục,Đồng bằng sông Cửu Long,Cần Thơ
Trường Đại học Ngoại Thương,56.22,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Nguyễn Tất Thành,59.44,Tư thục,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Ngân hàng TP. Hồ Chí Minh,52.5,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Nha Trang,51.47,Công lập,Duyên hải Nam Trung Bộ và Tây Nguyên,Khánh Hòa
Trường Đại học Quy Nhơn,55.94,Công lập,Duyên hải Nam Trung Bộ và Tây Nguyên,Bình Định
Trường Đại học Quốc tế Hồng Bàng,43.23,Tư thục,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Sài Gòn,49.9,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Sư phạm Hà Nội,61.21,Công lập,Trung du và miền núi phía Bắc,Hà Nội
Trường Đại học Sư phạm Kỹ thuật Hưng Yên,46.15,Công lập,Đồng bằng sông Hồng,Hưng Yên
Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh,52.99,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Sư phạm Kỹ thuật Vinh,44.12,Công lập,Bắc Trung Bộ,Nghệ An
Trường Đại học Sư phạm TP. Hồ Chí Minh,55.21,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Thuỷ Lợi,57.81,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Thăng Long,49.25,Tư thục,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Thương Mại,63.73,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Thể dục Thể thao TP. Hồ Chí Minh,44.93,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Thể dục thể thao Đà Nẵng,42.56,Công lập,Duyên hải Nam Trung Bộ và Tây Nguyên,Đà Nẵng
Trường Đại học Thủ Dầu Một,49.72,Công lập,Đông Nam Bộ,Bình Dương
Trường Đại học Thủ đô Hà Nội,48.85,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Trà Vinh,47.62,Công lập,Đồng bằng sông Cửu Long,Trà Vinh
Trường Đại học Tài nguyên và Môi trường Hà Nội,45.87,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Tân Trào,48.99,Công lập,Trung du và miền núi phía Bắc,Tuyên Quang
Trường Đại học Tây Nguyên,44.19,Công lập,Duyên hải Nam Trung Bộ và Tây Nguyên,Đắk Lắk
Trường Đại học Tây Đô,41.91,Tư thục,Đồng bằng sông Cửu Long,Cần Thơ
Trường Đại học Tôn Đức Thắng,73.23,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Vinh,58.15,Công lập,Bắc Trung Bộ,Nghệ An
Trường Đại học Văn Hiến,44.69,Tư thục,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Văn Lang,56.89,Tư thục,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Văn hoá Hà Nội,52.0,Công lập,Đồng bằng sông Hồng,Hà Nội
