truong,ma_nganh,ten_nganh,to_hop,diem_chuan,nam,method_id
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7220201,Ngôn ngữ Anh,A00; A01; D01; D07,26.51,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310101_1,Kinh tế học (ngành Kinh tế),A00; A01; D01; D07,26.52,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),A00; A01; D01; D07,25.8,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),A00; A01; D01; D07,26.79,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310104,Kinh tế đầu tư,A00; A01; D01; D07,27.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310104_CLC2,Kinh tế Đầu tư - CT CLC2,A00; A01; D01; D07,26.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310105,Kinh tế phát triển,A00; A01; D01; D07,26.77,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310105_CLC1,Kinh tế phát triển - CT CLC1,A00; A01; D01; D07,25.25,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310106,Kinh tế quốc tế,A00; A01; D01; D07,28.13,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310106_CLC3,Kinh tế quốc tế - CT CLC3,A00; A01; D01; D07,26.42,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310107,Thống kê kinh tế,A00; A01; D01; D07,26.79,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310108,Toán kinh tế,A00; A01; D01; D07,26.73,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7320108,Quan hệ công chúng,A00; A01; D01; D07,28.07,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7320108_CLC2,Quan hệ công chúng - CT CLC2,A00; A01; D01; D07,26.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340101,Quản trị kinh doanh,A00; A01; D01; D07,27.1,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340101_CLC2,Quản trị Kinh doanh - CT CLC2,A00; A01; D01; D07,26.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340101_TT1,Quản trị kinh doanh - CT tiên tiến TT1,A00; A01; D01; D07,24.75,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340115,Marketing,A00; A01; D01; D07,28.12,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340115_CLC3,Digital Marketing - CT CLC3,A00; A01; D01; D07,26.42,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340116,Bất động sản,A00; A01; D01; D07,25.41,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340120,Kinh doanh quốc tế,A00; A01; D01; D07,28.6,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340120_CLC3,Quản trị Kinh doanh quốc tế - CT CLC3,A00; A01; D01; D07,26.42,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340120_TT2,Quản trị Kinh doanh quốc tế - CT tiên tiến TT2,A00; A01; D01; D07,25.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340121,Kinh doanh thương mại,A00; A01; D01; D07,28,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340122,Thương mại điện tử,A00; A01; D01; D07,28.83,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340122_CLC3,Thương mại điện tử - CT CLC3,A00; A01; D01; D07,26.42,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340201,Tài chính - Ngân hàng,A00; A01; D01; D07,27.34,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340201_CLC1,Ngân hàng - CT CLC1,A00; A01; D01; D07,25.25,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340201_CLC3,Tài chính doanh nghiệp - CT CLC3,A00; A01; D01; D07,26.42,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340201_TT1,Kế hoạch tài chính - CT tiên tiến TT1,A00; A01; D01; D07,24.75,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340201_TT2,Tài chính - CT tiên tiến TT2,A00; A01; D01; D07,25.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340204,Bảo hiểm,A00; A01; D01; D07,24.75,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340204_CLC1,Bảo hiểm tích hợp chứng chỉ ANZ1IF - CT CLC1,A00; A01; D01; D07,25.25,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340301,Kế toán,A00; A01; D01; D07,27.1,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340301_TT1,Kế toán - CT tiên tiến TT1,A00; A01; D01; D07,24.75,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340302,Kiểm toán,A00; A01; D01; D07,28.38,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340302_CLC3,Kiểm toán tích hợp chứng chỉ ACCA - CT CLC3,A00; A01; D01; D07,26.42,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340401,Khoa học quản lý,A00; A01; D01; D07,26.06,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340403,Quản lý công,A00; A01; D01; D07,25.42,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340404,Quản trị nhân lực,A00; A01; D01; D07,27.1,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340404_CLC2,Quản trị nhân lực - CT CLC2,A00; A01; D01; D07,26.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340405,Hệ thống thông tin quản lý,A00; A01; D01; D07,27.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340408,Quan hệ lao động,A00; A01; D01; D07,25,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340409,Quản lý dự án,A00; A01; D01; D07,26.63,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7380101,Luật,A00; A01; D01; D07,25.96,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7380107,Luật kinh tế,A00; A01; D01; D07,26.75,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7380109,Luật thương mại quốc tế,A00; A01; D01; D07,26.44,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7480101,Khoa học máy tính,A00; A01; D01; D07,26.27,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7480104,Hệ thống thông tin,A00; A01; D01; D07,26.38,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7480201,Công nghệ thông tin,A00; A01; D01; D07,25.89,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7480201_CLC1,Công nghệ thông tin và chuyển đổi số - CT CLC1,A00; A01; D01; D07,25.25,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7480202,An toàn thông tin,A00; A01; D01; D07,25.59,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7510605,Logistics và Quản lý chuỗi cung ứng,A00; A01; D01; D07,28.61,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7510605_CLC3,Logistics và Quản lý chuỗi cung ứng - CT CLC3,A00; A01; D01; D07,26.42,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7620114,Kinh doanh nông nghiệp,A00; A01; D01; D07,23.75,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7620115,Kinh tế nông nghiệp,A00; A01; D01; D07,24.35,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7810103,Quản trị dịch vụ du lịch và lữ hành,A00; A01; D01; D07,26.06,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7810201,Quản trị khách sạn,A00; A01; D01; D07,26.25,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7850101,Quản lý tài nguyên và môi trường,A00; A01; D01; D07,24.17,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7850102,Kinh tế tài nguyên thiên nhiên,A00; A01; D01; D07,23.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7850103,Quản lý đất đai,A00; A01; D01; D07,24.38,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EBBA,Quản trị kinh doanh (E-BBA),A00; A01; D01; D07,25.64,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP01,Khởi nghiệp và phát triển kinh doanh (BBAE)/ngành QTKD,A00; A01; D01; D07,24.92,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP02,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),A00; A01; D01; D07,25.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP03,Phân tích dữ liệu kinh tế (EDA),A00; A01; D01; D07,26.78,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP04,Kế toán tích hợp chứng chi quốc tế (JCAEW CFAB),A00; A01; D01; D07,25.9,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP05,Kinh doanh số (E-BDB)/ngành QTKD,A00; A01; D01; D07,26.4,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP06,Phân tích kinh doanh (BA)/ngành QTKD,A00; A01; D01; D07,27.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP07,Quản trị điều hành thông minh (E-SOM) /ngành QTKD,A00; A01; D01; D07,25.1,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP08,Quản trị chất lượng và Đổi mới (E-MQI)/ngành QTKD,A00; A01; D01; D07,24.2,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP09,Công nghệ tài chính (BFT)/ngành TC-NH,A00; A01; D01; D07,26.29,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP10,Tài chính và Đầu tư (BFI)/ngành TC-NH,A00; A01; D01; D07,26.27,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP11,Quản trị khách sạn quốc tế (IHME),A00; A01; D01; D07,24.25,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP12,Kiểm toán tích hợp chứng chỉ quốc tế (ICAEW CFAB),A00; A01; D01; D07,27.25,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP13,Kinh tế học tài chính (FE)/ngành Kinh tế,A00; A01; D01; D07,25.41,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP14,Logistics và Quản lý chuỗi cung ứng tích hợp chứng chi quốc tế (LSIC),A00; A01; D01; D07,27.69,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP15,Khoa học dữ liệu,A00; A01; D01; D07,26.13,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP16,Trí tuệ nhân tạo,A00; A01; D01; D07,25.44,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP17,Kỹ thuật phần mềm,A00; A01; D01; D07,24.7,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EP18,Quản trị giải trí và sự kiện,A00; A01; D01; D07,25.89,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,EPMP,Quản lý công và Chính sách (E-PMP)/ngành Kinh tế,A00; A01; D01; D07,23,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,POHE1,Quản trị khách sạn,A00; A01; D01; D07,25.61,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,POHE2,Quản trị lữ hành,A00; A01; D01; D07,24.64,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,POHE3,Truyền thông Marketing,A00; A01; D01; D07,27.61,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,POHE4,Luật kinh doanh,A00; A01; D01; D07,25.5,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,POHE5,Quản trị kinh doanh thương mại,A00; A01; D01; D07,26.29,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,POHE6,Quản lý thị trường,A00; A01; D01; D07,24.66,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,POHE7,Thẩm định giá,A00; A01; D01; D07,24.55,2025,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7220201,Ngôn ngữ Anh,A01;D01;D09;D10,35.6,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310101_1,Kinh tế học (ngành Kinh tế),A00;A01;D01;D07,27.2,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),A00;A01;D01;D07,27.01,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),A00;A01;D01;D07,27.34,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310104,Kinh tế đầu tư,A00;A01;D01;D07,27.4,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310105,Kinh tế phát triển,A00;A01;D01;D07,27.2,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310106,Kinh tế quốc tế,A00;A01;D01;D07,27.54,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310107,Thống kê kinh tế,A00;A01;D01;D07,36.23,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7310108,Toán kinh tế,A00;A01;D01;D07,36.2,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7320108,Quan hệ công chúng,A01;D01;C03;C04,28.18,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340101,Quản trị kinh doanh,A00;A01;D01;D07,27.15,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340115,Marketing,A00;A01;D01;D07,27.78,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340116,Bất động sản,A00;A01;D01;D07,26.83,2024,1
KHA - KHA - Đại Học Kinh Tế Quốc Dân,7340120,Kinh doanh quốc tế,A00;A01;D01;D07,27.71,2024,1
